year	visitorid	hitdatahistorymkey	filename	linenumber	brandcode	visitoridhigh	visitoridlow	visitnumber	visitdatetime	visitdate	fiscalyear	fiscalmonthnumber	fiscalweeknumber	hit_time_gmt	service	acceptlanguage	eventlist	homepage	ip	pageevent	pageeventvar1	pageeventvar2	pagetype	pageurl	pagename	productlist	userserver	channel	sitesection	category	subcategory	subcategory2	pagecategory	searchterms	searchresults	refinementtype	refinementattribute	myaccountengagement	formanalysis	emailsubscriptionadd	emailsubscriptionremove	linklocation	navigationlinks	searchtype	businessunit	categoryxid	alternative	rbtused	resulttype	refinementattribute2	refinementattribute3	refinementattribute4	refinementattribute5	refinementattribute6	refinementattribute7	pagetypemerch	prop29	flashcreative	flashcreativeengagement	pdpengagement	prop33	prop34	prop35	prop36	prop37	prop38	prop39	prop40	prop41	language	prop43	prop44	prop45	prop46	prop47	prop48	prop49	prop50	ordernumber	state	useragent	zip	searchengine	excludehit	hier1	hier2	hier3	hier4	hier5	browser	postbrowserheight	postbrowserwidth	postcookies	postjavaenabled	postpersistentcookie	color	connectiontype	country	domain	postttimeinfo	javascript	language_0001	os	plugins	resolution	lasthittimegmt	firsthittimegmt	visitstarttimegmt	lastpurchasetimegmt	lastpurchasenum	firsthitpagename	visitstartpagename	visitreferrer	visitsearchengine	visitpagenum	prevpage	geocity	geocountry	georegion	duplicatepurchase	newvisit	dailyvisitor	hourlyvisitor	monthlyvisitor	yearlyvisitor	postcampaign	sitesection_0001	category_0001	subcategory_0001	subcategory2_0001	internaltrackingcode	searchterms_0001	productfindingmethods	paymentmethod	shippingmethod	ordernumber_0001	warrantiespresented	warrantycategory	crosssoldproduct	crosssoldinfluence	crossselltype	evar16	promocode	formanalysis2	calculatorengagement	bazaarvoice	catalogid	customerconnection	evar23	evar24	evar25	evar26	scene7	evar28	addonsbuytogether	addonsymal	mvtparameters	evar34	evar35	evar36	evar37	evar38	evar39	language_0002	freshstartcomplete	opentobuy	institutionid	cdeincreasepayment	cdedeferredoffer	cdedspomodel	cdeemailoptin	evar48	paidsearchrawquery	evar50	post_evar1	post_evar2	post_evar3	post_evar4	post_evar5	post_evar6	post_evar7	post_evar8	post_evar9	post_evar10	post_evar11	post_evar12	post_evar13	post_evar14	post_evar15	post_evar16	post_evar17	post_evar18	post_evar19	post_evar20	post_evar21	post_evar22	post_evar23	post_evar24	post_evar25	post_evar26	post_evar27	post_evar28	post_evar29	post_evar30	post_evar33	post_evar34	post_evar35	post_evar36	post_evar37	post_evar38	post_evar39	post_evar40	post_evar41	post_evar42	post_evar43	post_evar44	post_evar45	post_evar46	post_evar47	post_evar48	post_evar49	post_evar50	clickaction	clickactiontype	clickcontext	clickcontexttype	clicksourceid	clicktag	visitid	cookieid	checkoutthankyouflag	evar51	evar52	evar53	evar54	evar55	evar56	evar57	evar58	evar59	evar60	evar61	evar62	evar63	evar64	evar65	evar66	evar67	evar68	evar69	evar70	evar71	evar72	evar73	evar74	evar75	evar76	evar77	evar78	evar79	evar80	evar81	evar82	evar83	evar84	evar85	evar86	evar87	evar88	evar89	evar90	evar91	evar92	evar93	evar94	evar95	evar96	evar97	evar98	evar99	evar100	initialloaddate	updatedloaddate	devicetype
2022	86129783435908674605261960374414344708	16260768121	hit_data_fingerhutcomprod_2022-01-01.tsv	257674	FDM	8612978343590866944	5261960374414344192	1	01JAN2022:03:08:44.000000	01JAN2022	2022	1	1	1641028124	pe	en-US,en;q=0.9	124	U	71.72.75.243	10		so304_control_50		https://www.fingerhut.com/welcome	index																																																								Mozilla/5.0 (iPhone; CPU iPhone OS 15_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Mobile/15E148 Safari/604.1		0	0						1377088127	545	375	Y	N	Y	1	2	300	rr.com	1/0/2022 4:6:56 6 300	7	45	1166875248		192	1641028124	1641028016	1641028016	0	0	my account:reset password	my account:reset password	https://www.fingerhut.com/forgotPassword/change?token=MmIwODI1YTktMjNhOS00N2EzLWI4NmItNjA3ZDAxYjQ2ZmI5ADEzNDA2NTA3	0	13	0	zanesville	usa	oh	0	0	0	0	0	0																										so304_control_50																																			https://www.fingerhut.com/welcome											3549659349	DSPO01 : 132:CDESEGJ : 1	so304_control_50																so_targeting :			0						0		0	0		526196037441434470886129783435908674601	52619603744143447088612978343590867460	0																																																			02JAN2022:02:39:13.000000	02JAN2022:02:39:13.000000	Mobile
2022	86129783435908674605261960374414344708	16260768120	hit_data_fingerhutcomprod_2022-01-01.tsv	257673	FDM	8612978343590866944	5261960374414344192	1	01JAN2022:03:08:44.000000	01JAN2022	2022	1	1	1641028124	ss	en-US,en;q=0.9	20113=8,20538=0.0,20539=0.0,20540=0,20541=0,20170,111,122,123,130,131,142,145,155,171,10005,10013,10038,10039,10048,10096	U	71.72.75.243	0				https://www.fingerhut.com/welcome	index				index	index	index	index	index					42			https://www.fingerhut.com/welcome																				FreshStart	765f4259257e4f8d865a128fcd0055b7																		OH	Mozilla/5.0 (iPhone; CPU iPhone OS 15_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Mobile/15E148 Safari/604.1		0	0						1377088127	545	375	Y	N	Y	1	2	300	rr.com	1/0/2022 4:6:56 6 300	7	45	1166875248		192	1641028123	1641028016	1641028016	0	0	my account:reset password	my account:reset password	https://www.fingerhut.com/forgotPassword/change?token=MmIwODI1YTktMjNhOS00N2EzLWI4NmItNjA3ZDAxYjQ2ZmI5ADEzNDA2NTA3	0	12	3805217860	zanesville	usa	oh	0	0	0	0	0	0													https://www.fingerhut.com/welcome											3549659349	DSPO01 : 132:CDESEGJ : 1																	so_targeting :			0																https://www.fingerhut.com/welcome											3549659349	DSPO01 : 132:CDESEGJ : 1																	so_targeting :			0						0		0	0		526196037441434470886129783435908674601	52619603744143447088612978343590867460	0						index																xs																													02JAN2022:02:39:13.000000	02JAN2022:02:39:13.000000	Mobile
2022	86129783435908674605261960374414344708	16260768122	hit_data_fingerhutcomprod_2022-01-01.tsv	257675	FDM	8612978343590866944	5261960374414344192	1	01JAN2022:03:08:44.000000	01JAN2022	2022	1	1	1641028124	pe	en-US,en;q=0.9	124	U	71.72.75.243	10		so308_test_50		https://www.fingerhut.com/welcome	index																																																								Mozilla/5.0 (iPhone; CPU iPhone OS 15_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Mobile/15E148 Safari/604.1		0	0						1377088127	545	375	Y	N	Y	1	2	300	rr.com	1/0/2022 4:6:56 6 300	7	45	1166875248		192	1641028124	1641028016	1641028016	0	0	my account:reset password	my account:reset password	https://www.fingerhut.com/forgotPassword/change?token=MmIwODI1YTktMjNhOS00N2EzLWI4NmItNjA3ZDAxYjQ2ZmI5ADEzNDA2NTA3	0	14	0	zanesville	usa	oh	0	0	0	0	0	0																										so308_test_50																																			https://www.fingerhut.com/welcome											3549659349	DSPO01 : 132:CDESEGJ : 1	so308_test_50																so_targeting :			0						0		0	0		526196037441434470886129783435908674601	52619603744143447088612978343590867460	0																																																			02JAN2022:02:39:13.000000	02JAN2022:02:39:13.000000	Mobile
2022	86129783435908674605261960374414344708	16260768123	hit_data_fingerhutcomprod_2022-01-01.tsv	257676	FDM	8612978343590866944	5261960374414344192	1	01JAN2022:03:10:05.000000	01JAN2022	2022	1	1	1641028205	ss	en-US,en;q=0.9	20113=16,20538=0.0,20539=0.0,20540=0,20541=0,20170,106,111,112,122,123,131,142,145,155,171,10005,10013,10038,10039,10043,10096	U	71.72.75.243	0				https://www.fingerhut.com/search?wid=d8Q96g	search:results										966			43			https://www.fingerhut.com/search?wid=d8Q96g																FreshStart				FreshStart	765f4259257e4f8d865a128fcd0055b7																		OH	Mozilla/5.0 (iPhone; CPU iPhone OS 15_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Mobile/15E148 Safari/604.1		0	0						1377088127	545	375	Y	N	Y	1	2	300	rr.com	1/0/2022 4:6:56 6 300	7	45	1166875248		192	1641028124	1641028016	1641028016	0	0	my account:reset password	my account:reset password	https://www.fingerhut.com/forgotPassword/change?token=MmIwODI1YTktMjNhOS00N2EzLWI4NmItNjA3ZDAxYjQ2ZmI5ADEzNDA2NTA3	0	15	3977335384	zanesville	usa	oh	0	0	0	0	0	0								wid					https://www.fingerhut.com/search?wid=d8Q96g	3549659349										3549659349	DSPO01 : 132:CDESEGJ : 1																	so_targeting :			0											wid					https://www.fingerhut.com/search?wid=d8Q96g	3549659349										3549659349	DSPO01 : 132:CDESEGJ : 1	so308_test_50																so_targeting :			0					https://www.fingerhut.com/search?wid=d8Q96g	0	index	1	0	A	526196037441434470886129783435908674601	52619603744143447088612978343590867460	0						search:results																xs																													02JAN2022:02:39:13.000000	02JAN2022:02:39:13.000000	Mobile
2022	86129783435908674605261960374414344708	16260768124	hit_data_fingerhutcomprod_2022-01-01.tsv	257677	FDM	8612978343590866944	5261960374414344192	1	01JAN2022:03:10:34.000000	01JAN2022	2022	1	1	1641028234	pe	en-US,en;q=0.9	111,112,122,145,155,171,10005,10038,10039,10043,10096	U	71.72.75.243	10		ListingPage:BottomPagination2		https://www.fingerhut.com/search?wid=d8Q96g	search:results																https://www.fingerhut.com/search?wid=d8Q96g																FreshStart					765f4259257e4f8d865a128fcd0055b7			BottomPagination2																Mozilla/5.0 (iPhone; CPU iPhone OS 15_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Mobile/15E148 Safari/604.1		0	0						1377088127	545	375	Y	N	Y	1	2	300	rr.com	1/0/2022 4:6:56 6 300	7	45	1166875248		192	1641028205	1641028016	1641028016	0	0	my account:reset password	my account:reset password	https://www.fingerhut.com/forgotPassword/change?token=MmIwODI1YTktMjNhOS00N2EzLWI4NmItNjA3ZDAxYjQ2ZmI5ADEzNDA2NTA3	0	16	0	zanesville	usa	oh	0	0	0	0	0	0													https://www.fingerhut.com/search?wid=d8Q96g	3549659349										3549659349																					0											wid					https://www.fingerhut.com/search?wid=d8Q96g	3549659349										3549659349	DSPO01 : 132:CDESEGJ : 1	so308_test_50																so_targeting :			0					https://www.fingerhut.com/search?wid=d8Q96g&page=2&itemsPerPage=24	0	search:results	1	0	A	526196037441434470886129783435908674601	52619603744143447088612978343590867460	0						search:results																xs																													02JAN2022:02:39:13.000000	02JAN2022:02:39:13.000000	Mobile
2022	86129783435908674605261960374414344708	16260768125	hit_data_fingerhutcomprod_2022-01-01.tsv	257678	FDM	8612978343590866944	5261960374414344192	1	01JAN2022:03:10:59.000000	01JAN2022	2022	1	1	1641028259	pe	en-US,en;q=0.9	111,112,122,145,155,171,10005,10038,10039,10043,10096	U	71.72.75.243	10		ListingPage:BottomPagination3		https://www.fingerhut.com/search?wid=d8Q96g	search:results																https://www.fingerhut.com/search?wid=d8Q96g&page=2&itemsPerPage=24																FreshStart					765f4259257e4f8d865a128fcd0055b7			BottomPagination3																Mozilla/5.0 (iPhone; CPU iPhone OS 15_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Mobile/15E148 Safari/604.1		0	0						1377088127	545	375	Y	N	Y	1	2	300	rr.com	1/0/2022 4:6:56 6 300	7	45	1166875248		192	1641028234	1641028016	1641028016	0	0	my account:reset password	my account:reset password	https://www.fingerhut.com/forgotPassword/change?token=MmIwODI1YTktMjNhOS00N2EzLWI4NmItNjA3ZDAxYjQ2ZmI5ADEzNDA2NTA3	0	17	0	zanesville	usa	oh	0	0	0	0	0	0													https://www.fingerhut.com/search?wid=d8Q96g&page=2&itemsPerPage=24	3549659349										3549659349																					0											wid					https://www.fingerhut.com/search?wid=d8Q96g&page=2&itemsPerPage=24	3549659349										3549659349	DSPO01 : 132:CDESEGJ : 1	so308_test_50																so_targeting :			0					https://www.fingerhut.com/search?wid=d8Q96g&page=3&itemsPerPage=24	0	search:results	1	0	A	526196037441434470886129783435908674601	52619603744143447088612978343590867460	0						search:results																xs																													02JAN2022:02:39:13.000000	02JAN2022:02:39:13.000000	Mobile
2022	86129783435908674605261960374414344708	16260768126	hit_data_fingerhutcomprod_2022-01-01.tsv	257679	FDM	8612978343590866944	5261960374414344192	1	01JAN2022:03:11:22.000000	01JAN2022	2022	1	1	1641028282	pe	en-US,en;q=0.9	111,112,122,145,155,171,10005,10038,10039,10043,10096	U	71.72.75.243	10		ListingPage:BottomPagination4		https://www.fingerhut.com/search?wid=d8Q96g	search:results																https://www.fingerhut.com/search?wid=d8Q96g&page=3&itemsPerPage=24																FreshStart					765f4259257e4f8d865a128fcd0055b7			BottomPagination4																Mozilla/5.0 (iPhone; CPU iPhone OS 15_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Mobile/15E148 Safari/604.1		0	0						1377088127	545	375	Y	N	Y	1	2	300	rr.com	1/0/2022 4:6:56 6 300	7	45	1166875248		192	1641028259	1641028016	1641028016	0	0	my account:reset password	my account:reset password	https://www.fingerhut.com/forgotPassword/change?token=MmIwODI1YTktMjNhOS00N2EzLWI4NmItNjA3ZDAxYjQ2ZmI5ADEzNDA2NTA3	0	18	0	zanesville	usa	oh	0	0	0	0	0	0													https://www.fingerhut.com/search?wid=d8Q96g&page=3&itemsPerPage=24	3549659349										3549659349																					0											wid					https://www.fingerhut.com/search?wid=d8Q96g&page=3&itemsPerPage=24	3549659349										3549659349	DSPO01 : 132:CDESEGJ : 1	so308_test_50																so_targeting :			0					https://www.fingerhut.com/search?wid=d8Q96g&page=4&itemsPerPage=24	0	search:results	1	0	A	526196037441434470886129783435908674601	52619603744143447088612978343590867460	0						search:results																xs																													02JAN2022:02:39:13.000000	02JAN2022:02:39:13.000000	Mobile
2022	86129783435908674605261960374414344708	16260768127	hit_data_fingerhutcomprod_2022-01-01.tsv	257680	FDM	8612978343590866944	5261960374414344192	1	01JAN2022:03:11:50.000000	01JAN2022	2022	1	1	1641028310	pe	en-US,en;q=0.9	111,112,122,145,155,159,171,10005,10038,10039,10043,10096	U	71.72.75.243	10		PLP_ProductPosition:search:results:NRE7T:95		https://www.fingerhut.com/search?wid=d8Q96g	search:results																https://www.fingerhut.com/search?wid=d8Q96g&page=4&itemsPerPage=24																FreshStart					765f4259257e4f8d865a128fcd0055b7		img-responsive																	Mozilla/5.0 (iPhone; CPU iPhone OS 15_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Mobile/15E148 Safari/604.1		0	0						1377088127	545	375	Y	N	Y	1	2	300	rr.com	1/0/2022 4:6:56 6 300	7	45	1166875248		192	1641028282	1641028016	1641028016	0	0	my account:reset password	my account:reset password	https://www.fingerhut.com/forgotPassword/change?token=MmIwODI1YTktMjNhOS00N2EzLWI4NmItNjA3ZDAxYjQ2ZmI5ADEzNDA2NTA3	0	19	0	zanesville	usa	oh	0	0	0	0	0	0													https://www.fingerhut.com/search?wid=d8Q96g&page=4&itemsPerPage=24	3549659349										3549659349																					0											wid					https://www.fingerhut.com/search?wid=d8Q96g&page=4&itemsPerPage=24	3549659349										3549659349	DSPO01 : 132:CDESEGJ : 1	so308_test_50																so_targeting :			0					https://www.fingerhut.com/product/NRE7T	0	search:results	1	0	A	526196037441434470886129783435908674601	52619603744143447088612978343590867460	0						search:results				Browse:CategoryXID:NRE7T:95												xs																													02JAN2022:02:39:13.000000	02JAN2022:02:39:13.000000	Mobile
2022	86129783435908674605261960374414344708	16260768128	hit_data_fingerhutcomprod_2022-01-01.tsv	257681	FDM	8612978343590866944	5261960374414344192	1	01JAN2022:03:11:51.000000	01JAN2022	2022	1	1	1641028311	ss	en-US,en;q=0.9	287=2,288=0,20113=5,20538=0.0,20539=0.0,20540=0,20541=0,20542=14.99,256,20391,280,20397,2,20170,111,112,118,121,122,123,130,131,142,145,155,171,10005,10013,10038,10039,10096	U	71.72.75.243	0				https://www.fingerhut.com/product/NRE7T	pdp:MegaChef 4-Slice Wide-Slot Toaster	;NRE7T;;;;eVar1=Kitchen|eVar2=Kitchen:Kitchen Appliances|eVar3=Kitchen:Kitchen Appliances:Toasters & Ovens|eVar4=Kitchen:Kitchen Appliances:Toasters & Ovens|eVar53=https://www.fingerhut.com/search?wid=d8Q96g&page=4&itemsPerPage=24|eVar5=product detail page|eVar62=d8Q96g|eVar69=99.99			Kitchen	Kitchen:Kitchen Appliances	Kitchen:Kitchen Appliances:Toasters & Ovens	Kitchen:Kitchen Appliances:Toasters & Ovens	product detail page					43			https://www.fingerhut.com/product/NRE7T																FreshStart				FreshStart	765f4259257e4f8d865a128fcd0055b7																		OH	Mozilla/5.0 (iPhone; CPU iPhone OS 15_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Mobile/15E148 Safari/604.1		0	0						1377088127	545	375	Y	N	Y	1	2	300	rr.com	1/0/2022 4:6:56 6 300	7	45	1166875248		192	1641028310	1641028016	1641028016	0	0	my account:reset password	my account:reset password	https://www.fingerhut.com/forgotPassword/change?token=MmIwODI1YTktMjNhOS00N2EzLWI4NmItNjA3ZDAxYjQ2ZmI5ADEzNDA2NTA3	0	20	2816049675	zanesville	usa	oh	0	0	0	0	0	0													https://www.fingerhut.com/product/NRE7T	3549659349						4.5			13	3549659349	DSPO01 : 132:CDESEGJ : 1																	so_targeting :			0											wid					https://www.fingerhut.com/product/NRE7T	3549659349						4.5			13	3549659349	DSPO01 : 132:CDESEGJ : 1	so308_test_50																so_targeting :			0						0		0	0		526196037441434470886129783435908674601	52619603744143447088612978343590867460	0						pdp:MegaChef 4-Slice Wide-Slot Toaster																xs																													02JAN2022:02:39:13.000000	02JAN2022:02:39:13.000000	Mobile
2022	86129783435908674605261960374414344708	16260768129	hit_data_fingerhutcomprod_2022-01-01.tsv	257682	FDM	8612978343590866944	5261960374414344192	1	01JAN2022:03:13:27.000000	01JAN2022	2022	1	1	1641028407	pe	en-US,en;q=0.9	256,12,10,111,112,122,130,145,155,171,10005,10038,10039,10096	U	71.72.75.243	10		scAddPDP		https://www.fingerhut.com/product/NRE7T	pdp:MegaChef 4-Slice Wide-Slot Toaster	;NRE7T;1;99.99;;eVar53=https://www.fingerhut.com/search?wid=d8Q96g&page=4&itemsPerPage=24|eVar62=d8Q96g|eVar69=99.99							product detail page								https://www.fingerhut.com/product/NRE7T																FreshStart					765f4259257e4f8d865a128fcd0055b7																			Mozilla/5.0 (iPhone; CPU iPhone OS 15_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Mobile/15E148 Safari/604.1		0	0						1377088127	545	375	Y	N	Y	1	2	300	rr.com	1/0/2022 4:6:56 6 300	7	45	1166875248		192	1641028311	1641028016	1641028016	0	0	my account:reset password	my account:reset password	https://www.fingerhut.com/forgotPassword/change?token=MmIwODI1YTktMjNhOS00N2EzLWI4NmItNjA3ZDAxYjQ2ZmI5ADEzNDA2NTA3	0	21	0	zanesville	usa	oh	0	0	0	0	0	0													https://www.fingerhut.com/product/NRE7T	3549659349										3549659349																					0											wid					https://www.fingerhut.com/product/NRE7T	3549659349						4.5			13	3549659349	DSPO01 : 132:CDESEGJ : 1	so308_test_50																so_targeting :			0					https://www.fingerhut.com/product/NRE7T#	0	pdp:MegaChef 4-Slice Wide-Slot Toaster	1	0	A	526196037441434470886129783435908674601	52619603744143447088612978343590867460	0						pdp:MegaChef 4-Slice Wide-Slot Toaster																xs																													02JAN2022:02:39:13.000000	02JAN2022:02:39:13.000000	Mobile
